TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Kobe Bryant Hoodie, Arabic Calligraphy Art Hoodie, Lakers 24 Sweatshirt, Essential Heavyweight Drop Shoulder, Basketball Streetwear","Gender: Unisex
Model: Loose
Fabric: 85% cotton, 15% polyester
Fabric Weight: 11.2 oz/yd² (380 g/m²)
Fabric Thickness: Moderate
Care Instructions: Machine wash at 30°C (gentle cycle); Do not bleach; Tumble dry low;  Iron at low temperature, avoid ironing on print; Do not dry clean
Features: Basics, Casual, Preppy, Sporty, Street, Daily Casual, Outdoor, School, Sport, Office, Cotton Blend, Long Sleeve, Drop Shoulder, Hooded, Regular, Oversized, Winter
Print Size: 40*52 cm",69.99,USD,999,"Kobe_Bryant_Hoodie,Lakers_Hoodie,Basketball,Arabic_hoodie,Arabic_calligraphy,Arab,Islamic,Heavyweight_hoodie,Drop_shoulder_hoodie,NBA_Hoodie,Vintage,Sweatshirt,Mamba",Cotton,https://i.etsystatic.com/34343828/r/il/0fa85d/7574893627/il_fullxfull.7574893627_nkxl.jpg,https://i.etsystatic.com/34343828/r/il/2f2782/7526952664/il_fullxfull.7526952664_8dxq.jpg,https://i.etsystatic.com/34343828/r/il/d8c9aa/7526936374/il_fullxfull.7526936374_2vqz.jpg,https://i.etsystatic.com/34343828/r/il/480556/7526936390/il_fullxfull.7526936390_rujt.jpg,https://i.etsystatic.com/34343828/r/il/ab7762/7526936396/il_fullxfull.7526936396_llti.jpg,https://i.etsystatic.com/34343828/r/il/56aea9/7526936416/il_fullxfull.7526936416_bspe.jpg,https://i.etsystatic.com/34343828/r/il/8d261c/7574877615/il_fullxfull.7574877615_p70h.jpg,https://i.etsystatic.com/34343828/r/il/a68207/7574877625/il_fullxfull.7574877625_9nbe.jpg,,,Color,"Primary color",Black,"Custom Property",size,"S,M,L,XL,2XL,3XL","251220PODRB3347#002,251220PODRB3347#003,251220PODRB3347#004,251220PODRB3347#006,251220PODRB3347#001,251220PODRB3347#005"
"Baggy Sweatpants - 100% Cotton Snow Wash Heavyweight Joggers","These snow-washed heavyweight sweatpants are built for comfort, structure, and everyday streetwear style. Designed with a relaxed oversized fit and soft heavyweight cotton, they deliver a premium feel with a naturally faded, worn-in look.

Perfect for lounging, layering, or completing a full streetwear fit, these pants balance comfort and style effortlessly.

Gender: Unisex
Model: Regular
Fabric: 100% cotton
Fabric Weight: 12.4 oz/yd² (420 g/m²)
Fabric Thickness: Thick
Care Instructions: Machine wash at 30°C (gentle cycle); Do not bleach; Tumble dry low;  Iron at low temperature, avoid ironing on print; Do not dry clean
Features: Basics, Casual, Sporty, Street, Vintage, Daily Casual, Outdoor, Running, Sport, Pure Cotton, Washed, Snow Wash, Drawstring, Long, Loose, Mid Waist, Spring, Autumn, Winter
Print Size: 40*52 cm",69.99,USD,962,"Wide_leg_sweatpants,baggy_sweats,baggy_sweatpants,baggy_gym_pants,vintage_sweatpants,baggy_joggers,hip_hop_dance_pants,martial_arts_pants,baggy_dance_pants,fleece_lined_joggers,flowy_yoga_pants,terry_cloth_joggers,islamic_pants",Cotton,https://i.etsystatic.com/34343828/r/il/c04ff0/7545987778/il_fullxfull.7545987778_q544.jpg,https://i.etsystatic.com/34343828/r/il/4b0cca/7593925975/il_fullxfull.7593925975_88sj.jpg,https://i.etsystatic.com/34343828/r/il/dc9fdd/7593925991/il_fullxfull.7593925991_67xc.jpg,https://i.etsystatic.com/34343828/r/il/2e1448/7545987826/il_fullxfull.7545987826_7jf3.jpg,https://i.etsystatic.com/34343828/r/il/2e72ba/7593926063/il_fullxfull.7593926063_oh40.jpg,https://i.etsystatic.com/34343828/r/il/cf54c6/7593926103/il_fullxfull.7593926103_o2wr.jpg,https://i.etsystatic.com/34343828/r/il/0318aa/7545987908/il_fullxfull.7545987908_l45p.jpg,https://i.etsystatic.com/34343828/r/il/a19b56/7593926155/il_fullxfull.7593926155_h3cq.jpg,https://i.etsystatic.com/34343828/r/il/2896e9/7545987966/il_fullxfull.7545987966_10us.jpg,https://i.etsystatic.com/34343828/r/il/55f514/7545987978/il_fullxfull.7545987978_7u95.jpg,Color,"Primary color",Black,"Custom Property",size,"S,M,L,XL,2XL","251228PODPX2125#002,251228PODPX2125#005,251228PODPX2125#001,251228PODPX2125#003,251228PODPX2125#004"
"Baggy Sweatpants - 100% Heavyweight Cotton Raw Edge Pants","Streetwear meets ultimate comfort in our heavyweight snow-washed sweatpants.
Designed with a loose, boxy silhouette and a unique raw-edge tape detail, these aren't your average joggers. Crafted from 420 g/m² (12.4 oz) pure cotton, they offer a substantial, premium feel that drapes perfectly for that sought-after ""stacked"" or wide-leg look. The snow-wash treatment ensures that every pair has its own unique, vintage-inspired character.
Gender: Unisex
Model: Loose
Fabric: 100% cotton
Fabric Weight: 12.4 oz/yd² (420 g/m²)
Fabric Thickness: Thick
Care Instructions: Machine wash at 30°C (gentle cycle); Do not bleach; Tumble dry low;  Iron at low temperature, avoid ironing on print; Do not dry clean
Features: Basics, Sporty, Vintage, Casual, Daily Casual, Outdoor, Holiday, Sport, Office, School, Pure Cotton, Snow Wash, Patchwork, Regular, Regular, Mid Waist, Autumn, Winter
Print Size: 40*52cm",69.99,USD,998,"wide_leg_sweatpants,baggy_sweatpants,baggy_sweats,baggy_gym_pants,vintage_sweatpants,baggy_joggers,baggy_dance_pants,fleece_lined_joggers,islamic_pants,martial_arts_pants,hip_hop_dance_pants,terry_cloth_joggers,flowy_yoga_pants",Cotton,https://i.etsystatic.com/34343828/r/il/4d88a6/7933355359/il_fullxfull.7933355359_75i0.jpg,https://i.etsystatic.com/34343828/r/il/dfa8e2/7885390964/il_fullxfull.7885390964_n3en.jpg,https://i.etsystatic.com/34343828/r/il/f9a9fa/7885390986/il_fullxfull.7885390986_tuo8.jpg,https://i.etsystatic.com/34343828/r/il/f410b3/7933355117/il_fullxfull.7933355117_jdbj.jpg,https://i.etsystatic.com/34343828/r/il/df5177/7933355173/il_fullxfull.7933355173_2w68.jpg,https://i.etsystatic.com/34343828/r/il/dbede5/7933355217/il_fullxfull.7933355217_pt0t.jpg,https://i.etsystatic.com/34343828/r/il/813f3a/7885391244/il_fullxfull.7885391244_4knh.jpg,https://i.etsystatic.com/34343828/r/il/2420e3/7933355235/il_fullxfull.7933355235_obtd.jpg,https://i.etsystatic.com/34343828/r/il/d842d7/7933355273/il_fullxfull.7933355273_elfs.jpg,https://i.etsystatic.com/34343828/r/il/520ed7/7933355407/il_fullxfull.7933355407_7p1b.jpg,Color,"Primary color","Black,Light Gray,Khaki,Dark Gray","Custom Property",size,"S,M,L,XL,2XL","260407PODPX2790#006,260407PODPX2790#007,260407PODPX2790#008,260407PODPX2790#011,260407PODPX2790#012,260407PODPX2790#014,260407PODPX2790#015,260407PODPX2790#001,260407PODPX2790#002,260407PODPX2790#003,260407PODPX2790#004,260407PODPX2790#005,260407PODPX2790#009,260407PODPX2790#010,260407PODPX2790#013,260407PODPX2790#016,260407PODPX2790#017,260407PODPX2790#018,260407PODPX2790#019,260407PODPX2790#020"
"Palestinian Hoodie - Keffiyeh Resistance Design Heavyweight Arabic Graphic Sweatshirt","Make a statement that can’t be ignored. This bold hoodie features a striking keffiyeh graphic and powerful message in both Arabic and English. Built for comfort and impact, it’s more than just a hoodie, it’s a symbol.

Gender: Unisex
Model: Regular
Fabric: 42% cotton, 53% polyester, 5% other fibers
Fabric Weight: 10.3 oz/yd² (350 g/m²)
Fabric Thickness: Thick
Fabric Stretch: Slight Stretch
Care Instructions: Machine wash at 30°C (gentle cycle); Do not bleach; Tumble dry low;  Iron at low temperature, avoid ironing on print; Do not dry clean
Features: Basics, Casual, Street, Daily Casual, Outdoor, Cotton Blend, Drawstring, Long Sleeve, Rib Cuffs, Hooded, Long, Loose, Winter",69.99,USD,974,"arabic_hoodie,islamic_hoodie,arabic_calligraphy,modest_gym_wear,muslim_streetwear,palestine_hoodie,palestinian_hoodie,keffiyeh_hoodie,extra_thick_hoodie,arabic_text_hoodie,oversized_sweatshirt,arabic_sweatshirt,arabic_streetwear",Cotton,https://i.etsystatic.com/34343828/r/il/230b83/7332124010/il_fullxfull.7332124010_blnh.jpg,https://i.etsystatic.com/34343828/r/il/9c1125/7332122874/il_fullxfull.7332122874_ay5s.jpg,https://i.etsystatic.com/34343828/r/il/81c9d5/7387009479/il_fullxfull.7387009479_47xq.jpg,https://i.etsystatic.com/34343828/r/il/eea193/7380031843/il_fullxfull.7380031843_exxc.jpg,https://i.etsystatic.com/34343828/r/il/2c3b80/7332088076/il_fullxfull.7332088076_q8bo.jpg,https://i.etsystatic.com/34343828/r/il/e68220/7380031883/il_fullxfull.7380031883_nfui.jpg,https://i.etsystatic.com/34343828/r/il/284415/7380031931/il_fullxfull.7380031931_lc9b.jpg,https://i.etsystatic.com/34343828/r/il/f28154/7380031985/il_fullxfull.7380031985_5xdq.jpg,https://i.etsystatic.com/34343828/r/il/72cd27/7380032017/il_fullxfull.7380032017_b61s.jpg,,Color,"Primary color",Black,"Custom Property",size,"S,M,L,XL,2XL","251028PODRB3000#002,251028PODRB3000#004,251028PODRB3000#001,251028PODRB3000#003,251028PODRB3000#005"
"Snow Wash Oversized Cotton Pants – Drawstring Relaxed Fit Streetwear Sweatpants, Vintage Washed Unisex Pants","These snow-washed oversized cotton pants are built for comfort, versatility, and everyday streetwear style. Designed with a relaxed silhouette and soft washed finish, they deliver that worn-in vintage look while staying clean and modern.

Perfect for lounging, styling with hoodies or tees, or completing a full streetwear fit.

Gender: Unisex
Model: Loose
Fabric: 100% cotton
Fabric Weight: 7.1 oz/yd² (240 g/m²)
Fabric Thickness: Thick
Care Instructions: Machine wash at 30°C (gentle cycle); Do not bleach; Tumble dry low;  Iron at low temperature, avoid ironing on print; Do not dry clean
Features: Basics, Casual, Sporty, Street, Vintage, Daily Casual, Outdoor, School, Sport, Office, Pure Cotton, Washed, Drawstring, Pocket, Regular, Loose, Mid Waist, Spring, Autumn, Winter
Print Size: 40*52 cm",69.99,USD,996,"Cotton_loose_fit,Handcrafted_comfort,Thick_cotton_fabric,Loose_fit_joggers,Wide_leg_sweatpants,casual_everyday_wear,mid_waist_drawstring,vintage,wide,soft_fabric,baggy_sweats,flared,pants",Cotton,https://i.etsystatic.com/34343828/r/il/da3c53/7545974406/il_fullxfull.7545974406_d1tq.jpg,https://i.etsystatic.com/34343828/r/il/fbb598/7593912229/il_fullxfull.7593912229_kg4c.jpg,https://i.etsystatic.com/34343828/r/il/26f252/7545974454/il_fullxfull.7545974454_jmd6.jpg,https://i.etsystatic.com/34343828/r/il/d38832/7545974498/il_fullxfull.7545974498_buns.jpg,https://i.etsystatic.com/34343828/r/il/b7f37d/7545974528/il_fullxfull.7545974528_e9hq.jpg,https://i.etsystatic.com/34343828/r/il/e407c4/7545974564/il_fullxfull.7545974564_a77q.jpg,https://i.etsystatic.com/34343828/r/il/3b7e64/7545974618/il_fullxfull.7545974618_i3kn.jpg,https://i.etsystatic.com/34343828/r/il/4addcd/7545974650/il_fullxfull.7545974650_mp6n.jpg,,,Color,"Primary color",Black,"Custom Property",size,"S,M,L,XL,2XL","251228PODPX2095#001,251228PODPX2095#003,251228PODPX2095#002,251228PODPX2095#004,251228PODPX2095#005"
"Distressed Arabic Calligraphy Hoodie, Washed Islamic Streetwear Sweatshirt, Vintage Frayed Middle Eastern Graphic Hoodie","This black vintage-washed hoodie features a striking vertical Arabic calligraphy design alongside a textured crescent moon. Accented with a distressed, paint-splattered effect, the piece blends deep cultural artistry with an urban, grunge aesthetic. Perfect for those who carry both heritage and style in every step.

Gender: Unisex
Model: Loose
Fabric: 42% cotton, 53% polyester, 5% other fibers
Fabric Weight: 10.6 oz/yd² (360 g/m²)
Fabric Thickness: Thick
Fabric Stretch: Slight Stretch
Care Instructions: Machine wash at 30°C (gentle cycle); Do not bleach; Tumble dry low;  Iron at low temperature; avoid ironing on print. Do not dry clean
Features: Casual, Street, Daily Casual, Pure Cotton, Washed, Frayed, Long Sleeve, Hooded, Regular, Loose, Autumn, Winter",77.99,USD,997,"Islamic_hoodie,Arabic_Calligraphy,Vintage_arabic,Arab_sweatshirt,Allah_hoodie,Muslim,Cool_Arabic_hoodie,Heavyweight_Hoodie,vintage_islamic,frayed,Streetwear,Arabic_art,crescent_moon_hoodie",Fleece,https://i.etsystatic.com/34343828/r/il/eb7b5e/7482763972/il_fullxfull.7482763972_12h1.jpg,https://i.etsystatic.com/34343828/r/il/ffa0db/7530689417/il_fullxfull.7530689417_glty.jpg,https://i.etsystatic.com/34343828/r/il/e2582f/7101409156/il_fullxfull.7101409156_5yvb.jpg,https://i.etsystatic.com/34343828/r/il/6a1669/7101409142/il_fullxfull.7101409142_mihm.jpg,https://i.etsystatic.com/34343828/r/il/8886ea/7373688530/il_fullxfull.7373688530_3dlv.jpg,https://i.etsystatic.com/34343828/r/il/c2d9d7/7373688828/il_fullxfull.7373688828_kr48.jpg,https://i.etsystatic.com/34343828/r/il/83153e/7421611425/il_fullxfull.7421611425_lpqb.jpg,https://i.etsystatic.com/34343828/r/il/3b8791/7149377927/il_fullxfull.7149377927_ogza.jpg,https://i.etsystatic.com/34343828/r/il/e5193f/7421614419/il_fullxfull.7421614419_t5vp.jpg,https://i.etsystatic.com/34343828/r/il/de6a5a/7373686908/il_fullxfull.7373686908_gh4c.jpg,Color,"Primary color",Black,"Custom Property",size,"S,M,L,XL,2XL","250812PODRB1899#003,250812PODRB1899#005,250812PODRB1899#001,250812PODRB1899#002,250812PODRB1899#004"
"Palestine Shirt - Oversized Acid Washed Tee","Make a statement without saying a word. This snow-washed oversized T-shirt features a bold resistance-inspired graphic with Arabic text, blending streetwear culture, identity, and meaning into one powerful piece.

Designed for comfort and presence, this tee has a vintage washed finish, relaxed oversized fit, and heavyweight cotton feel — perfect for everyday wear or making a statement wherever you go.

Gender: Unisex
Model: Loose
Fabric: 100% cotton
Fabric Weight: 7.4 oz/yd² (250 g/m²)
Fabric Thickness: Moderate
Fabric Stretch: Slight Stretch
Care Instructions: Machine wash at 30°C (gentle cycle); Do not bleach; Tumble dry low;  Iron at low temperature, avoid ironing on print; Do not dry clean
Features: Casual, Street, Daily Casual, Outdoor, School, Pure Cotton, Snow Wash, Washed, Short Sleeve, Drop Shoulder, Round Neck / O-Neck, Regular, Loose, Summer
Print Size: 40*52 cm",49.99,USD,970,"palestine_shirt,palestine_t_shirt,palestinian_shirt,resistance_shirt,resistance_tee,palestine_tee,keffiyeh,keffiyeh_shirt,palestine,acid_wash_shirt,arabic_shirt,palestine_gift,solidarity_shirt",Cotton,https://i.etsystatic.com/34343828/r/il/e3fe52/7612740977/il_fullxfull.7612740977_e58j.jpg,https://i.etsystatic.com/34343828/r/il/6a8019/7564796380/il_fullxfull.7564796380_3fiz.jpg,https://i.etsystatic.com/34343828/r/il/b6586a/7589358229/il_fullxfull.7589358229_g727.jpg,https://i.etsystatic.com/34343828/r/il/51d1e5/7996760694/il_fullxfull.7996760694_o1c6.jpg,https://i.etsystatic.com/34343828/r/il/6353af/7589358273/il_fullxfull.7589358273_leep.jpg,https://i.etsystatic.com/34343828/r/il/597adf/7564793532/il_fullxfull.7564793532_paqz.jpg,https://i.etsystatic.com/34343828/r/il/061614/7612739289/il_fullxfull.7612739289_e1jt.jpg,https://i.etsystatic.com/34343828/r/il/9f151d/7564795814/il_fullxfull.7564795814_ai0k.jpg,,,Color,"Primary color",Black,"Custom Property",size,"S,M,L,XL,2XL,3XL","251226PODPQ2554#005,251226PODPQ2554#001,251226PODPQ2554#002,251226PODPQ2554#003,251226PODPQ2554#004,251226PODPQ2554#006"
"Arabic Baggy Sweatpants: Pure Cotton, Loose Fit - Handcrafted Comfort","Experience the effortless comfort of these baggy sweatpants, designed for those who appreciate a loose fit and casual style with an Arabic calligraphy style and twist. Crafted from 100% pure cotton, these wide sweatpants blend vintage charm with modern streetwear vibes, perfect for everyday wear. Whether you're lounging at home or stepping out, their oversized jogger silhouette ensures you stay cool and comfy all day long.

- ✅ 100% thick cotton fabric for durability and breathability
- ✅ Loose fit with mid-waist drawstring for adjustable comfort
- ✅ Suitable for spring, autumn, and winter seasons
- ✅ Machine washable at 30°C on gentle cycle; tumble dry low; iron on low heat avoiding prints

Each pair is handcrafted, making every item unique with natural variations that celebrate artisanal quality.

- Processing time includes careful handcrafting to ensure quality
- Ships promptly with secure packaging to maintain product integrity
- Custom orders not available; please refer to sizing chart before purchase

Our shop is dedicated to delivering timeless basics that combine comfort and style effortlessly. We take pride in offering handcrafted pieces that elevate your daily wardrobe with authenticity and care.",69.99,USD,998,"Cotton_loose_fit,handcrafted_comfort,Wide_leg_sweatpants,Soft_fabric_joggers,Baggy_joggers,y2k_sweats,Free_Palestine,Arabic_pants,Arabic_calligraphy,Arab_clothing,Islamic_clothing,Eid_gift_ideas,Streetwear",Cotton,https://i.etsystatic.com/34343828/r/il/6a7675/7927650244/il_fullxfull.7927650244_9ves.jpg,https://i.etsystatic.com/34343828/r/il/c4c14a/7927650268/il_fullxfull.7927650268_ovys.jpg,https://i.etsystatic.com/34343828/r/il/6c1ae0/7975604541/il_fullxfull.7975604541_ssnp.jpg,https://i.etsystatic.com/34343828/r/il/bc654d/7975604567/il_fullxfull.7975604567_i31p.jpg,https://i.etsystatic.com/34343828/r/il/0f8af5/7927650364/il_fullxfull.7927650364_6pma.jpg,https://i.etsystatic.com/34343828/r/il/396267/7975604653/il_fullxfull.7975604653_oefo.jpg,https://i.etsystatic.com/34343828/r/il/ccefdd/7927650424/il_fullxfull.7927650424_s1l9.jpg,https://i.etsystatic.com/34343828/r/il/03951c/7975604721/il_fullxfull.7975604721_lp87.jpg,https://i.etsystatic.com/34343828/r/il/2ebfde/7975604751/il_fullxfull.7975604751_syf0.jpg,https://i.etsystatic.com/34343828/r/il/3f29a0/7975604803/il_fullxfull.7975604803_bmke.jpg,Color,"Primary color",Black,"Custom Property",size,"S,M,L,XL,2XL","260419PODPX2333#005,260419PODPX2333#001,260419PODPX2333#004,260419PODPX2333#003,260419PODPX2333#002"
"Arabic Calligraphy Rahma Mercy Tee – Boxy Vintage Islamic Streetwear, Minimal Cotton Shirt","Showcase grace and meaning with this clean, modern tee featuring the word ""Rahma"" (رحمة) – Arabic for mercy. Blend spiritual elegance with minimalist streetwear vibes.

Gender: Unisex
Model: Loose
Fabric: 100% Cotton
Fabric Weight :7.7 oz/yd² (260 g/m²)
Fabric Thickness: Moderate
Care Instructions: Machine wash at 30°C (gentle cycle); Do not bleach; Tumble dry low;  Iron at low temperature, avoid ironing on print; Do not dry clean
Features: Basics, Casual, Street, Daily Casual, Outdoor, Pure Cotton, Washed, Short Sleeve, Drop Shoulder, Round Neck / O-Neck, Regular, Loose, Summer, Autumn
Print Size: 40*52cm
Notes: Minor batch differences can occur during blank garment production due to variations in fabric, dye and processing. This is common in apparel manufacturing, and we work hard to keep every item consistent.",49.99,USD,997,"Arabic_Calligraphy,Oversized_tee,Boxy_fit,Arabic_T-shirt,Vintage_Arabic,Drop_Shoulder,Cropped_fit,Islamic_Shirt,Islamic_tee,Allah_shirt,Arab_shirt,Cool_arabic",Cotton,https://i.etsystatic.com/34343828/r/il/ebba95/7482771204/il_fullxfull.7482771204_qkuj.jpg,https://i.etsystatic.com/34343828/r/il/833d83/7075262101/il_fullxfull.7075262101_nc6y.jpg,https://i.etsystatic.com/34343828/r/il/548c8f/7075262115/il_fullxfull.7075262115_8ijm.jpg,https://i.etsystatic.com/34343828/r/il/68a506/7075262149/il_fullxfull.7075262149_3fss.jpg,https://i.etsystatic.com/34343828/r/il/d24eec/7075262127/il_fullxfull.7075262127_7ptk.jpg,https://i.etsystatic.com/34343828/r/il/1fb7a7/7027285162/il_fullxfull.7027285162_7pgd.jpg,https://i.etsystatic.com/34343828/r/il/a7e8e4/7027285140/il_fullxfull.7027285140_av39.jpg,https://i.etsystatic.com/34343828/r/il/0ad838/7091751942/il_fullxfull.7091751942_pj2y.jpg,https://i.etsystatic.com/34343828/r/il/e24b0f/7091753032/il_fullxfull.7091753032_6q66.jpg,https://i.etsystatic.com/34343828/r/il/e023af/7482772030/il_fullxfull.7482772030_gvhs.jpg,Color,"Primary color","Black,Haze Gray,Gray Green","Custom Property",Size,"S,M,L,XL,2XL","250717PODPQ1379#002,250717PODPQ1379#003,250717PODPQ1379#004,250717PODPQ1379#005,250717PODPQ1379#008,250717PODPQ1379#010,250717PODPQ1379#012,250717PODPQ1379#013,250717PODPQ1379#015,250717PODPQ1379#001,250717PODPQ1379#006,250717PODPQ1379#007,250717PODPQ1379#009,250717PODPQ1379#011,250717PODPQ1379#014"
"Arabic Calligraphy Compression Shirt, Islamic Workout Tee for Men, Muslim Gym Performance T-Shirt, Athletic Training Top with Arabic Design","A bold declaration of faith — this tee features the powerful phrase ""لا إله إلا الله"" (La Ilaha Illa Allah) meaning There is no god but Allah, printed across the chest in elegant Arabic calligraphy. Designed with simplicity and strength, this piece is a daily reminder of purpose, belief, and devotion.

Gender: Men
Model: Skinny
Fabric: 87% Polyester, 13% Spandex
Fabric Weight: 5.9 oz/yd² (200 g/m²)
Fabric Thickness: Moderate
Fabric Stretch: High Stretch
Care Instructions: Machine wash at 30°C (gentle cycle); Do not bleach; Tumble dry low;  Iron at low temperature; avoid ironing on print. Do not dry clean
Features: Casual, Sporty, Daily Casual, Gym, Sport, Running, Short Sleeve, Raglan Sleeve, Round Neck/O-Neck, Regular, Skinny, Summer",34.99,USD,995,"Islamic_Gym_shirt,Compression_T-Shirt,Sports_shirt,Arabic_shirt,Arabic_Calligraphy,Arabic_Compression,Arabic_Gym_shirt,Free_Palestine,Allah_shirt,Islamic_shirt,Cool_Gym_shirt,Compression_Tee",,https://i.etsystatic.com/34343828/r/il/84c398/7482747062/il_fullxfull.7482747062_a842.jpg,https://i.etsystatic.com/34343828/r/il/759b07/7482747140/il_fullxfull.7482747140_j54o.jpg,https://i.etsystatic.com/34343828/r/il/d7092d/7119139109/il_fullxfull.7119139109_nilv.jpg,https://i.etsystatic.com/34343828/r/il/1e6087/7119139123/il_fullxfull.7119139123_6uxm.jpg,https://i.etsystatic.com/34343828/r/il/af44e7/7071194728/il_fullxfull.7071194728_iqo6.jpg,https://i.etsystatic.com/34343828/r/il/de45ec/7119139177/il_fullxfull.7119139177_o4z6.jpg,,,,,Color,"Primary color",Black,"Custom Property",size,"S,M,L,XL,2XL","250801PODRZ2026#002,250801PODRZ2026#003,250801PODRZ2026#004,250801PODRZ2026#001,250801PODRZ2026#005"
